date;source;target
28/12/2007;BNIA;LMAN
26/11/2007;BHAG;BNIA
06/12/2007;BBBA;ABAL
12/11/2007;PDJB;BBIJ
07/12/2007;HVBK;CENA
13/12/2007;BBUK;BOTK
05/11/2007;IBBK;BRIN
14/11/2007;PDBK;BSSP
03/12/2007;CITI;BUMI
04/10/2007;LIPB;GNES
05/10/2007;SYNA;MEGA
02/10/2007;PDJB;BBBA
27/11/2007;BUMI;SYSU
09/10/2007;BBIJ;BMRI
08/10/2007;EKST;CENA
24/10/2007;DEUT;LIPB
12/12/2007;SYSU;BDIN
13/12/2007;BSDR;CITI
26/12/2007;WIKE;VICT
02/11/2007;HSBC;IBBK
26/12/2007;VICT;BRIN
29/10/2007;BBUK;PDAC
22/10/2007;GNES;BDIN
01/11/2007;DBSB;MEDH
14/12/2007;BBBA;HSBC
11/12/2007;BBUK;BSMD
27/11/2007;HAGA;BSDR
16/11/2007;BMRI;SYDK
21/12/2007;BRIN;BDIN
21/12/2007;PDJG;PDJT
28/11/2007;DEUT;BNIA
19/12/2007;CENA;IBBK
04/10/2007;CICT;CENA
26/10/2007;GNES;BRIN
06/11/2007;BSMD;BBUK
31/10/2007;ABAL;CENA
10/12/2007;BRIN;BTAN
14/11/2007;TAPE;BNIN
18/10/2007;BBUK;MAYA
12/11/2007;MAYA;BNIN
18/12/2007;LIPB;KSEI
20/11/2007;ANTD;BICN
03/12/2007;CTCB;DEUT
05/10/2007;ATJS;CITI
24/10/2007;BRIN;PDSB
06/11/2007;ARTG;CENA
05/11/2007;MEGA;MGAB
09/11/2007;BNIN;BUTG
30/10/2007;BNIA;BBIJ
25/10/2007;AEIB;CITI
10/10/2007;HSBC;ARNK
21/11/2007;EKON;PINB
27/11/2007;TAPE;MEGA
17/12/2007;BMRI;SWBA
08/10/2007;HAGA;ANZB
28/12/2007;PDKS;IBBK
10/10/2007;CENA;CNBA
29/10/2007;DBSB;BBBA
17/12/2007;CNBA;CICT
31/10/2007;CITI;BPIA
09/10/2007;ABNA;MCOR
09/11/2007;BNIN;CENA
01/10/2007;PDJB;BNIA
14/11/2007;HVBK;BNIN
30/10/2007;SUNI;SITB
09/10/2007;CENA;SYBD
30/10/2007;PDNT;IBBK
05/10/2007;CENA;SITB
05/11/2007;ATJS;BNIA
08/10/2007;PINB;BBIJ
06/11/2007;BMRI;PDNT
29/11/2007;CENA;BBUK
03/12/2007;PDIJ;PDWR
08/10/2007;PDSB;PDRI
18/10/2007;CITI;ANZB
22/10/2007;BUMI;ATJS
21/12/2007;BNIA;CITI
12/11/2007;BNIN;SITB
04/12/2007;BOTK;CTCB
13/11/2007;BNIA;PDJG
25/10/2007;BNIN;HSBC
12/11/2007;INPB;ATJS
22/10/2007;BBUK;ABNA
10/10/2007;INDI;HRDA
04/10/2007;SYWS;ATJS
22/11/2007;RIPA;CENA
13/12/2007;VICT;LIPB
30/10/2007;BMRI;PDNT
08/11/2007;HSBC;BOTK
02/10/2007;CNBA;BBUK
23/10/2007;PINB;ANZB
07/12/2007;BMRI;BDIP
13/11/2007;PDJT;CNBA
07/11/2007;AWAN;ARTG
19/12/2007;CITI;ARTG
02/10/2007;BNIN;BBUK
24/12/2007;IBBK;BHAG
21/12/2007;BRIN;BUMI
14/12/2007;BRIN;IBBK
24/12/2007;SCBL;CITI
09/10/2007;ANZB;DEUT
10/12/2007;MUAB;PDWR
30/10/2007;ATJS;NISP
26/11/2007;EKON;ARTG
02/11/2007;PDWR;SYWS
03/12/2007;BBIJ;AEIB
11/10/2007;NISP;BMRI
