date;source;target
04/12/2007;IBBK;BTAN
19/11/2007;BBIJ;DBSB
23/10/2007;MEDH;HAGA
06/12/2007;MUAB;PDJB
18/10/2007;MEEK;BMRI
12/12/2007;BNIA;SCBL
31/10/2007;BRIN;BSMD
19/12/2007;BBIJ;DBSB
07/12/2007;AWAN;IBBK
02/11/2007;ATJS;PDYK
19/10/2007;MEGA;ARTG
04/12/2007;FUJI;SCBL
08/11/2007;BBIJ;CENA
14/11/2007;BHAG;HAGA
09/10/2007;BRIN;PINB
10/10/2007;RABO;ABNA
17/10/2007;LIPB;SWBA
14/12/2007;BRIN;IBBK
02/10/2007;PINB;BUMI
14/12/2007;BNIN;ARNK
30/11/2007;BOTK;HSBC
06/11/2007;PMAS;CENA
09/11/2007;BMRI;BDIN
21/11/2007;ABAL;ATJS
01/11/2007;BICN;BBIJ
06/12/2007;PDIJ;IBBK
12/12/2007;HSBC;CHAS
01/11/2007;MEGA;SYNA
01/11/2007;PDKT;EKON
01/11/2007;BSMD;BBUK
06/11/2007;BBUK;EKON
24/12/2007;FAMA;NISP
08/11/2007;NISP;PDRI
28/12/2007;BMRI;ANZB
27/11/2007;NISP;BTAN
11/12/2007;BRIN;SYWS
08/10/2007;ABAL;ATJS
27/12/2007;BNIN;PDAC
25/10/2007;PDKT;BNIN
10/10/2007;LIPB;TAPE
03/10/2007;PDWU;BNIA
18/12/2007;PDJB;SYWS
13/12/2007;ARNK;BRIN
16/11/2007;PDJB;LIPB
06/12/2007;AGTB;ATJS
23/11/2007;PDKS;BDIN
22/11/2007;PDML;BRIN
21/11/2007;CITI;HSBC
24/10/2007;CICT;PINB
02/11/2007;PDWR;ARTG
28/12/2007;SUNI;BNIN
26/12/2007;AEIB;CITI
30/11/2007;BBIJ;BOTK
24/12/2007;ATOS;BBIJ
11/12/2007;BOTK;BBIJ
23/11/2007;BDIN;ANZB
12/11/2007;IBBK;BDIP
09/11/2007;BNIN;AEIB
06/11/2007;TAPE;PDJG
25/10/2007;BBIJ;PINB
21/12/2007;CENA;BBUK
07/11/2007;BBIJ;BDIN
01/11/2007;PDAC;BRIN
13/11/2007;EKON;HSBC
03/12/2007;SCBL;BNIN
21/11/2007;PDKG;MEGA
25/10/2007;HAGA;SUNI
10/12/2007;PINB;PDKB
16/11/2007;HAGA;IBBK
09/11/2007;IBBK;HMOB
05/10/2007;BBIJ;CITI
13/12/2007;SUNI;BOTK
10/10/2007;BNIA;ARNK
02/10/2007;MASD;OCBC
03/10/2007;HSBC;BNPA
02/11/2007;BPIA;BICN
28/12/2007;BRIN;PDBK
19/12/2007;SYAC;BRIN
22/11/2007;BNIA;BNIN
09/10/2007;BMRI;PDJB
26/10/2007;WIKE;VICT
05/10/2007;CENA;EKST
13/11/2007;BBUK;RIPA
26/12/2007;BBAI;BNIN
07/12/2007;ARTG;MEDH
09/11/2007;ABNA;LIPB
30/11/2007;BUMI;BBUK
21/11/2007;BNIA;BMRI
12/12/2007;SWBA;ARNK
28/12/2007;CHAS;DBSB
25/10/2007;BBUK;PDSU
14/12/2007;CENA;BNIA
05/12/2007;IBBK;PINB
30/10/2007;BNIN;CITI
23/11/2007;BOFA;MEEK
13/11/2007;CITI;BRIN
24/10/2007;MASD;BNIA
08/10/2007;ABNA;MEGA
08/10/2007;BRIN;MAYO
15/11/2007;BNIN;MEDH
04/10/2007;CITI;LIPB
28/12/2007;HSBC;BBUK
22/11/2007;BRIN;HAIN
13/11/2007;BBBA;AEIB
02/11/2007;SUNI;BBBA
15/11/2007;PDWR;BDIN
19/12/2007;BBIJ;BNIN
06/12/2007;CITI;BBUK
30/10/2007;BMRI;PDYK
05/12/2007;BSMD;BDIN
27/12/2007;BPIA;HSBC
06/11/2007;PDJG;MASD
13/12/2007;BDIN;BICN
07/11/2007;BRIN;BBUK
14/11/2007;PDJB;PDNB
11/10/2007;BMRI;PDKS
05/11/2007;SWBA;CENA
05/10/2007;BDIN;BSDR
14/11/2007;HAGA;ROYB
02/10/2007;MAYO;ATJS
28/12/2007;SCBL;BOFA
30/11/2007;IBBK;SITB
18/10/2007;BMRI;ABAL
09/10/2007;PINB;BICN
12/11/2007;DEUT;BSMD
26/11/2007;BDKI;PDAC
29/10/2007;BHAG;NISP
08/11/2007;MEGA;ARTG
09/10/2007;MEGA;DBSB
29/10/2007;PINB;BDIN
08/11/2007;BDIN;BEXI
26/11/2007;CENA;IDMO
14/12/2007;DBSB;NUPA
27/11/2007;DEUT;CTCB
13/11/2007;TAPE;BBIJ
19/11/2007;BNPA;LIPB
12/11/2007;CITI;BBUK
22/11/2007;DEUT;BNIA
14/12/2007;PDNT;ATJS
19/12/2007;PDSB;PINB
14/12/2007;CHAS;BKCH
30/11/2007;CHAS;BBBA
05/12/2007;CNBA;MEGA
26/12/2007;IBBK;BMRI
15/11/2007;FUJI;CENA
29/10/2007;BBBA;DBSB
27/12/2007;BDIN;BMRI
24/10/2007;BRIN;PDKT
11/12/2007;BRIN;MASD
04/12/2007;BNIN;IBBK
04/10/2007;BNIN;HAGA
25/10/2007;PINB;CITI
13/11/2007;CITI;BOFA
07/11/2007;BMRI;JSAB
18/12/2007;BRIN;PDSB
03/10/2007;CICT;MEGA
16/11/2007;SCBL;BRIN
28/12/2007;PDBK;PDSB
09/11/2007;BSDR;MGAB
26/11/2007;BDIN;BDKI
21/12/2007;CENA;CITI
14/12/2007;DEUT;BSSP
24/10/2007;BBBA;BBUK
21/11/2007;BARC;LFIB
09/11/2007;BNIA;NUPA
17/12/2007;AEIB;BOTK
23/10/2007;MAYA;BBBA
18/12/2007;CITI;BUMI
27/12/2007;AEIB;OCBC
19/10/2007;CENA;BHAG
14/11/2007;RABO;HSBC
12/11/2007;BRIN;PDNT
19/10/2007;EKON;MEGA
03/10/2007;PDML;BRIN
17/10/2007;HAGA;GNES
26/11/2007;BBIJ;BNIN
02/10/2007;BRIN;SYBR
11/12/2007;CENA;BICN
28/11/2007;BNIN;KOEX
15/11/2007;LMAN;IBBK
22/10/2007;PDNB;PDJB
08/11/2007;SYBT;BNIA
27/11/2007;NUPA;NISP
16/11/2007;PINB;IBBK
07/11/2007;BSMD;PDRI
04/12/2007;SCBL;BNIA
10/10/2007;BBIJ;BMRI
08/10/2007;BNIN;WIKE
02/10/2007;CENA;ANZB
30/10/2007;BTAN;CENA
08/11/2007;BBAI;HMOB
07/12/2007;BRIN;BBUK
23/10/2007;CNBA;BMRI
